id;code;description;default_value
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-angellist;fa-angellist css class;fa-angellist
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-area-chart;fa-area-chart css class;fa-area-chart
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-at;fa-at css class;fa-at
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bell-slash;fa-bell-slash css class;fa-bell-slash
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bell-slash-o;fa-bell-slash-o css class;fa-bell-slash-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bicycle;fa-bicycle css class;fa-bicycle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-binoculars;fa-binoculars css class;fa-binoculars
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-birthday-cake;fa-birthday-cake css class;fa-birthday-cake
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bus;fa-bus css class;fa-bus
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-calculator;fa-calculator css class;fa-calculator
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cc;fa-cc css class;fa-cc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cc-amex;fa-cc-amex css class;fa-cc-amex
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cc-discover;fa-cc-discover css class;fa-cc-discover
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cc-mastercard;fa-cc-mastercard css class;fa-cc-mastercard
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cc-paypal;fa-cc-paypal css class;fa-cc-paypal
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cc-stripe;fa-cc-stripe css class;fa-cc-stripe
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-cc-visa;fa-cc-visa css class;fa-cc-visa
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-copyright;fa-copyright css class;fa-copyright
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-eyedropper;fa-eyedropper css class;fa-eyedropper
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-futbol-o;fa-futbol-o css class;fa-futbol-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-google-wallet;fa-google-wallet css class;fa-google-wallet
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-ils;fa-ils css class;fa-ils
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-ioxhost;fa-ioxhost css class;fa-ioxhost
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-lastfm;fa-lastfm css class;fa-lastfm
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-lastfm-square;fa-lastfm-square css class;fa-lastfm-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-line-chart;fa-line-chart css class;fa-line-chart
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-meanpath;fa-meanpath css class;fa-meanpath
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-newspaper-o;fa-newspaper-o css class;fa-newspaper-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-paint-brush;fa-paint-brush css class;fa-paint-brush
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-paypal;fa-paypal css class;fa-paypal
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-pie-chart;fa-pie-chart css class;fa-pie-chart
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-plug;fa-plug css class;fa-plug
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-shekel;fa-shekel css class;fa-shekel
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-shegel;fa-shegel css class;fa-shegel
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-slideshare;fa-slideshare css class;fa-slideshare
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-soccer-ball-o;fa-soccer-ball-o css class;fa-soccer-ball-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-toggle-off;fa-toggle-off css class;fa-toggle-off
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-toggle-on;fa-toggle-on css class;fa-toggle-on
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-trash;fa-trash css class;fa-trash
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-tty;fa-tty css class;fa-tty
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-twitch;fa-twitch css class;fa-twitch
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-wifi;fa-wifi css class;fa-wifi
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-yelp;fa-yelp css class;fa-yelp
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-rub;fa-rub css class;fa-rub
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-ruble;fa-ruble css class;fa-ruble
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-rouble;fa-rouble css class;fa-rouble
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-pagelines;fa-pagelines css class;fa-pagelines
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-stack-exchange;fa-stack-exchange css class;fa-stack-exchange
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrow-circle-o-right;fa-arrow-circle-o-right css class;fa-arrow-circle-o-right
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrow-circle-o-left;fa-arrow-circle-o-left css class;fa-arrow-circle-o-left
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-caret-square-o-left;fa-caret-square-o-left css class;fa-caret-square-o-left
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-toggle-left;fa-toggle-left css class;fa-toggle-left
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-dot-circle-o;fa-dot-circle-o css class;fa-dot-circle-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-wheelchair;fa-wheelchair css class;fa-wheelchair
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-vimeo-square;fa-vimeo-square css class;fa-vimeo-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-try;fa-try css class;fa-try
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-turkish-lira;fa-turkish-lira css class;fa-turkish-lira
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-plus-square-o;fa-plus-square-o css class;fa-plus-square-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-adjust;fa-adjust css class;fa-adjust
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-anchor;fa-anchor css class;fa-anchor
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-archive;fa-archive css class;fa-archive
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrows;fa-arrows css class;fa-arrows
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrows-h;fa-arrows-h css class;fa-arrows-h
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-arrows-v;fa-arrows-v css class;fa-arrows-v
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-asterisk;fa-asterisk css class;fa-asterisk
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-ban;fa-ban css class;fa-ban
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bar-chart-o;fa-bar-chart-o css class;fa-bar-chart-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-barcode;fa-barcode css class;fa-barcode
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-bars;fa-bars css class;fa-bars
